injury_id,injury_type,injury_subtype,severity_grade,context,mean_recovery_days,median_recovery_days,min_recovery_days,max_recovery_days,return_to_play_rate_percent,re_injury_rate_percent,time_period,sample_size_note,clinical_notes,citation_ids
1,ACL,Complete Tear,Complete,Overall,246.5,240,186,310,92.6,4,2016-2021,MLS 10-year data,RTP time decreased from 269.6 days (2010-15). Strength recovery within 7 months.,"1,3,6,10"
2,ACL,Complete Tear,Complete,Overall,269.6,,,,,8,2010-2015,MLS 10-year data,Earlier cohort with longer recovery times,3
3,Hamstring,Strain,Grade 1,Minimal fiber damage,15.09,,,,,,2016-2021,MLS data,Increased from 10.13 days in 2010-15,"1,5,9"
4,Hamstring,Strain,Grade 1,Minimal fiber damage,10.13,,,,,,2010-2015,MLS data,Earlier cohort with shorter recovery,1
5,Hamstring,Strain,Grade 2,~50% fibers torn,38.5,,21,56,,,General,Professional soccer,Partial tear - moderate severity,5
6,Hamstring,Strain,Grade 3,>50% fibers damaged,90,,,,,,General,Professional soccer,Severe tear/rupture - up to 3 months,5
7,Hamstring,Strain,Overall,Game-related,27.8,,,,,,MLS Recent,MLS 10-year data,Higher intensity leads to longer recovery vs practice,1
8,Hamstring,Strain,Overall,Practice-related,21.9,,,,,,MLS Recent,MLS 10-year data,Lower intensity scenarios,1
9,Hamstring,Strain,Overall,Acute noncontact,24.9,,,,,,MLS Recent,MLS 10-year data,Sudden onset without collision,1
10,Hamstring,Strain,Overall,Chronic/overuse,13.2,,,,,,MLS Recent,MLS 10-year data,Gradual onset overuse injuries,1
11,Hamstring,Strain,Overall,All contexts,20.26,,,,,,2016-2021,MLS 10-year data,Overall average increased from 13.60 days (2010-15),1
12,Hamstring,Strain,Overall,All contexts,13.6,,,,,,2010-2015,MLS 10-year data,Earlier cohort - less conservative protocols,1
13,Hamstring,Strain,Overall,All contexts,,,,,,,General,Professional soccer,33% re-injury rate within first year. Subsequent injuries often more severe.,"5,9"
14,Adductor,Strain,Overall,All contexts,19.7,,,,,,2016-2021,MLS 10-year data,Increased from 14.4 days (2010-15). 7.6% of all MLS injuries.,4
15,Adductor,Strain,Overall,All contexts,14.4,,,,,,2010-2015,MLS 10-year data,Earlier cohort,4
16,Adductor,Strain,Overall,Acute contact,19.7+,,,,,,MLS Recent,MLS 10-year data,Longest RTP duration among adductor injuries,4
17,Ankle,Sprain,Varies,All contexts,15.8,,,,,,MLS Recent,MLS data,8.5% of all MLS injuries. Uses general MLS injury average.,2
18,MCL,Sprain/Tear,Varies,All contexts,,,3,259,71,,,Elite European soccer,Wide variation based on severity. Median 33 days. 71% return to same level.,7
19,MCL,Sprain/Tear,Varies,All contexts,,33,,,,,Elite European soccer,Median 4 games missed (range 1-30),7
20,Athletic Pubalgia,Surgical Repair,Post-surgery,Surgical,,,,,High,,,MLS data,Performance maintained post-surgery. Specific timeline not provided in abstract.,General
21,General,All Injuries,Minor,4-7 days missed,5.5,,4,7,,,UEFA/MLS,Elite soccer,42% of all injuries fall in this category,8
22,General,All Injuries,Moderate,8-28 days missed,18,,8,28,,,UEFA/MLS,Elite soccer,56% of all injuries fall in this category,8
23,General,All Injuries,Major,>28 days missed,60+,,29,,,UEFA/MLS,Elite soccer,2% of all injuries fall in this category,8
24,General,All Injuries,Overall,MLS average,15.8,,,,,,MLS Recent,MLS 6-year study,Mean time missed across all MLS injuries,2
